,Fund,Fund Description,Chart Section Level 1,Chart Section Level 2,Agency,Agency Description,Organization,Organization Description,Activity,Activity Description,Function,Function Description,Account,Account Description,Total Indicator,Balance Forward,YTD Debits,YTD Credits,Ending Balance,Prior Year YTD Balance
426,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,3201,City Standing Violations/Regular & Partials,N,0,16019136,157014686,-140995550,-135517886
427,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,3204,UM St Viol/Regs & PArt,N,0,39990730,39990730,0,0
428,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,3206,UM Defaults Owed To City,N,0,0,2451100,-2451100,-2353400
429,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,5101,U Of M Police General,N,0,0,0,0,-5681450
430,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,5102,U of M Basketball,N,0,0,3364940,-3364940,-4014804
431,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,5103,U Of M Football,N,0,0,43406313,-43406313,-34195801
432,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,5104,Sex Offender Fee,N,0,36000,140000,-104000,-28000
433,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,5108,PBT Administration,N,0,2000,161200,-159200,-194500
434,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,5109,BD Of Ed Spec Service,N,0,0,2228306,-2228306,-2149133
435,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,5111,Crash Reports,N,0,500,1833050,-1832550,-1343400
436,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,5112,Pol Rprts Reproduction,N,0,0,242402,-242402,-328568
437,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,5113,Pol Credential & Bar Letter,N,0,0,122000,-122000,-103000
438,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,5116,Donations/Police,N,0,0,100000,-100000,-100000
439,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,5118,Dog Impoundment Fee,N,0,0,6500,-6500,-3000
440,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,5119,Miscellaneous - Police,N,0,338513,5710108,-5371595,-4087479
441,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,5640,Police-False Alarm Respon,N,0,1528800,10106100,-8577300,-8448200
442,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,5642,Alarm Connection Fee,N,0,5253,7082300,-7077047,-6023117
443,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,6199,Other Rentals,N,0,0,626000,-626000,-626000
444,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,6806,Refund Prior Year Expense,N,0,0,161390,-161390,-69811
445,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,6906,Sale of Abandoned Prop,N,0,0,73949,-73949,-59841
446,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,6999,Miscellaneous,N,0,0,2598450,-2598450,0
447,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,8216,Towing Fees,N,0,0,1210500,-1210500,-1569500
448,0010,General,REVENUES,,031,Police,3150,Operations,0000,Revenue,,,,,Y,0,58590907,285979449,-227388542,-214190439
449,0010,General,REVENUES,,031,Police,3150,Operations,,,,,,,Y,0,58590907,285979449,-227388542,-214190439
450,0010,General,REVENUES,,031,Police,,,,,,,,,Y,0,58590907,285979449,-227388542,-214190439
451,0010,General,REVENUES,,032,Fire,3230,Fire Services,0000,Revenue,,,4326,Special Events,N,0,0,15000,-15000,-12500
452,0010,General,REVENUES,,032,Fire,3230,Fire Services,0000,Revenue,,,5202,Fire False Alarm Fee,N,0,1013800,5165500,-4151700,-5559100
453,0010,General,REVENUES,,032,Fire,3230,Fire Services,0000,Revenue,,,5203,U of M - Fire Services,N,0,0,4385593,-4385593,-4041490
454,0010,General,REVENUES,,032,Fire,3230,Fire Services,0000,Revenue,,,5210,Fire Inspection Fees,N,0,776296,21836868,-21060572,-20627068
455,0010,General,REVENUES,,032,Fire,3230,Fire Services,0000,Revenue,,,5212,Fire Plan Review Fees,N,0,24000,840000,-816000,-1188000
456,0010,General,REVENUES,,032,Fire,3230,Fire Services,0000,Revenue,,,6999,Miscellaneous,N,0,6320493,8431088,-2110595,-1162083
457,0010,General,REVENUES,,032,Fire,3230,Fire Services,0000,Revenue,,,,,Y,0,8134589,40674049,-32539460,-32590241
458,0010,General,REVENUES,,032,Fire,3230,Fire Services,,,,,,,Y,0,8134589,40674049,-32539460,-32590241
459,0010,General,REVENUES,,032,Fire,,,,,,,,,Y,0,8134589,40674049,-32539460,-32590241
460,0010,General,REVENUES,,033,Building,1000,Administration,0000,Revenue,,,4316,Construction Barricade Permit,N,0,0,13661039,-13661039,-24307266
461,0010,General,REVENUES,,033,Building,1000,Administration,0000,Revenue,,,4321,Sidewalk Occupancy/Portable Sign Permit,N,0,0,486675,-486675,-438000
462,0010,General,REVENUES,,033,Building,1000,Administration,0000,Revenue,,,4326,Special Events,N,0,5787400,6102900,-315500,-5982149
463,0010,General,REVENUES,,033,Building,1000,Administration,0000,Revenue,,,6868,NSF Ck/Recovery,N,0,0,0,0,-2500
464,0010,General,REVENUES,,033,Building,1000,Administration,0000,Revenue,,,6999,Miscellaneous,N,0,0,1758700,-1758700,-80200
465,0010,General,REVENUES,,033,Building,1000,Administration,0000,Revenue,,,,,Y,0,5787400,22009314,-16221914,-30810115
466,0010,General,REVENUES,,033,Building,1000,Administration,,,,,,,Y,0,5787400,22009314,-16221914,-30810115
467,0010,General,REVENUES,,033,Building,3340,Housing Bureau,0000,Revenue,,,4343,Housing Inspections,N,0,1793350,50323700,-48530350,-66726000
468,0010,General,REVENUES,,033,Building,3340,Housing Bureau,0000,Revenue,,,4353,Vacant/Abandoned Bldgs,N,0,11200,426800,-415600,-25000
469,0010,General,REVENUES,,033,Building,3340,Housing Bureau,0000,Revenue,,,,,Y,0,1804550,50750500,-48945950,-66751000
470,0010,General,REVENUES,,033,Building,3340,Housing Bureau,,,,,,,Y,0,1804550,50750500,-48945950,-66751000
471,0010,General,REVENUES,,033,Building,3370,Appeals,0000,Revenue,,,4362,Appeal Housing Board,N,0,0,125000,-125000,0
472,0010,General,REVENUES,,033,Building,3370,Appeals,0000,Revenue,,,,,Y,0,0,125000,-125000,0
473,0010,General,REVENUES,,033,Building,3370,Appeals,,,,,,,Y,0,0,125000,-125000,0
474,0010,General,REVENUES,,033,Building,,,,,,,,,Y,0,7591950,72884814,-65292864,-97561115
475,0010,General,REVENUES,,040,Public Services,4500,Engineering,0000,Revenue,,,1625,Special Asses - Sidewalks,N,0,0,0,0,-4578407
476,0010,General,REVENUES,,040,Public Services,4500,Engineering,0000,Revenue,,,6814,Construction Reimbursement,N,0,0,0,0,-2049550
477,0010,General,REVENUES,,040,Public Services,4500,Engineering,0000,Revenue,,,8199,Miscellaneous - Public Service,N,0,2500,2500,0,0
478,0010,General,REVENUES,,040,Public Services,4500,Engineering,0000,Revenue,,,,,Y,0,2500,2500,0,-6627957
479,0010,General,REVENUES,,040,Public Services,4500,Engineering,,,,,,,Y,0,2500,2500,0,-6627957
480,0010,General,REVENUES,,040,Public Services,,,,,,,,,Y,0,2500,2500,0,-6627957
481,0010,General,REVENUES,,050,Planning,3320,Historic Preservation,0000,Revenue,,,4203,Historic Preservation,N,0,10000,1555000,-1545000,-1015000
482,0010,General,REVENUES,,050,Planning,3320,Historic Preservation,0000,Revenue,,,,,Y,0,10000,1555000,-1545000,-1015000
483,0010,General,REVENUES,,050,Planning,3320,Historic Preservation,,,,,,,Y,0,10000,1555000,-1545000,-1015000
484,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,4201,Annexation Fees,N,0,0,120000,-120000,-190000
485,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,4204,Master Plan Surcharge,N,0,500,16500,-16000,-20750
486,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,4205,Site Plans,N,0,1610000,16392000,-14782000,-19942750
487,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,4206,Zoning Fees,N,0,0,908500,-908500,-1445000
488,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,4209,Brownfield Plan Review or Revision,N,0,0,110000,-110000,0
489,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,4212,Site Plan/ Admin Amend,N,0,0,1591500,-1591500,-1596000
490,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,4213,Land Division,N,0,0,420000,-420000,-1342000
491,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,4214,Adm Lot Division,N,0,0,80000,-80000,-400000
492,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,4217,Planned Project Petition,N,0,0,94000,-94000,-47000
493,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,4219,Planned Unit Development,N,0,0,664000,-664000,-550000
494,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,4222,Design Review Board,N,0,0,360000,-360000,-150000
495,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,4323,Wetlands Permits,N,0,0,47000,-47000,-235000
496,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,4325,Zoning Compliance Permits,N,0,5000,3772528,-3767528,-3535100
497,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,4344,Outside Reproduction,N,0,0,1525,-1525,-27055
498,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,7116,Site Compliance,N,0,0,60000,-60000,-375000
499,0010,General,REVENUES,,050,Planning,3360,Planning,0000,Revenue,,,,,Y,0,1615500,24637553,-23022053,-29855655
500,0010,General,REVENUES,,050,Planning,3360,Planning,,,,,,,Y,0,1615500,24637553,-23022053,-29855655
501,0010,General,REVENUES,,050,Planning,3370,Appeals,0000,Revenue,,,4364,Appeal Zoning Board,N,0,72500,720000,-647500,-727500
502,0010,General,REVENUES,,050,Planning,3370,Appeals,0000,Revenue,,,,,Y,0,72500,720000,-647500,-727500
503,0010,General,REVENUES,,050,Planning,3370,Appeals,,,,,,,Y,0,72500,720000,-647500,-727500
504,0010,General,REVENUES,,050,Planning,,,,,,,,,Y,0,1698000,26912553,-25214553,-31598155
505,0010,General,REVENUES,,060,Parks & Recreation,1000,Administration,1000,Administration,0000,Revenue,2710.0069,Operating Transfers 0069,N,0,1416600,7083000,-5666400,-5666664
506,0010,General,REVENUES,,060,Parks & Recreation,1000,Administration,1000,Administration,0000,Revenue,5499,Miscellaneous-Parks,N,0,17400,191452,-174052,-472750
507,0010,General,REVENUES,,060,Parks & Recreation,1000,Administration,1000,Administration,0000,Revenue,6199,Other Rentals,N,0,3956559,7911259,-3954700,-5046200
508,0010,General,REVENUES,,060,Parks & Recreation,1000,Administration,1000,Administration,0000,Revenue,6999,Miscellaneous,N,0,178453,129865,48588,325586
509,0010,General,REVENUES,,060,Parks & Recreation,1000,Administration,1000,Administration,0000,Revenue,,,Y,0,5569012,15315576,-9746564,-10860028
510,0010,General,REVENUES,,060,Parks & Recreation,1000,Administration,1000,Administration,,,,,Y,0,5569012,15315576,-9746564,-10860028
511,0010,General,REVENUES,,060,Parks & Recreation,1000,Administration,,,,,,,Y,0,5569012,15315576,-9746564,-10860028
512,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,1646,Farmer's Market,0000,Revenue,1518,Inspection,N,0,0,181500,-181500,-253000
513,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,1646,Farmer's Market,0000,Revenue,2165,Fair Food Grant,N,0,0,0,0,-267800
514,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,1646,Farmer's Market,0000,Revenue,2710.0063,Operating Transfers 0063,N,0,0,837429,-837429,-716535
515,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,1646,Farmer's Market,0000,Revenue,5483,Merchandise,N,0,0,85200,-85200,-257100
516,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,1646,Farmer's Market,0000,Revenue,5499,Miscellaneous-Parks,N,0,0,0,0,-120000
517,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,1646,Farmer's Market,0000,Revenue,7401,Annual Rentals Paying Yearly,N,0,215000,0,215000,-6768500
518,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,1646,Farmer's Market,0000,Revenue,7403,Daily Rentals Paying Yearly,N,0,0,22500,-22500,-18000
519,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,1646,Farmer's Market,0000,Revenue,7404,Annual Rentals Paying Daily,N,0,0,96000,-96000,-141000
520,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,1646,Farmer's Market,0000,Revenue,7405,Daily Rentals Paying Daily,N,0,0,798000,-798000,-771000
521,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,1646,Farmer's Market,0000,Revenue,7406,Parking Fees,N,0,30000,237500,-207500,-955500
522,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,1646,Farmer's Market,0000,Revenue,7407,Wednesday Night Market,N,0,0,49200,-49200,-115000
523,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,1646,Farmer's Market,0000,Revenue,,,Y,0,245000,2307329,-2062329,-10383435
524,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,1646,Farmer's Market,,,,,Y,0,245000,2307329,-2062329,-10383435
525,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6100,Facility Rentals,0000,Revenue,5457,Rec & Ed Field Fees,N,0,0,0,0,-336800
526,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6100,Facility Rentals,0000,Revenue,5459,Park Use  Fee,N,0,4884475,24946177,-20061702,-18001550
527,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6100,Facility Rentals,0000,Revenue,5474,Dog Park Fees,N,0,0,632250,-632250,-689500
528,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6100,Facility Rentals,0000,Revenue,,,Y,0,4884475,25578427,-20693952,-19027850
529,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6100,Facility Rentals,,,,,Y,0,4884475,25578427,-20693952,-19027850
530,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6231,Buhr Pool,0000,Revenue,5423,Day Camps,N,0,219200,2207200,-1988000,-1540300
531,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6231,Buhr Pool,0000,Revenue,5425,Vending Machine Sales,N,0,0,20173,-20173,-22401
532,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6231,Buhr Pool,0000,Revenue,5432,Swimming,N,0,22220,5497686,-5475466,-3849536
533,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6231,Buhr Pool,0000,Revenue,5438,Swimming-instructional,N,0,57500,457087,-399587,-335123
534,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6231,Buhr Pool,0000,Revenue,5439,Swim Team,N,0,0,33500,-33500,-20550
535,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6231,Buhr Pool,0000,Revenue,5465,Rental-Pool,N,0,69200,560400,-491200,-561200
536,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6231,Buhr Pool,0000,Revenue,,,Y,0,368120,8776046,-8407926,-6329110
537,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6231,Buhr Pool,,,,,Y,0,368120,8776046,-8407926,-6329110
538,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6232,Buhr Rink,0000,Revenue,5408,Season Pass-Resident,N,0,4000,358708,-354708,-411115
539,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6232,Buhr Rink,0000,Revenue,5425,Vending Machine Sales,N,0,0,51845,-51845,-21505
540,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6232,Buhr Rink,0000,Revenue,5441,Skating,N,0,3700,3227174,-3223474,-3277600
541,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6232,Buhr Rink,0000,Revenue,5443,Skate Shop,N,0,0,82900,-82900,-70500
542,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6232,Buhr Rink,0000,Revenue,5449,Recreational Hockey,N,0,250,795875,-795625,-685700
543,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6232,Buhr Rink,0000,Revenue,5466,Rental-Rink,N,0,69100,6142860,-6073760,-7008975
544,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6232,Buhr Rink,0000,Revenue,,,Y,0,77050,10659362,-10582312,-11475395
545,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6232,Buhr Rink,,,,,Y,0,77050,10659362,-10582312,-11475395
546,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6234,Veteran's Pool,0000,Revenue,5425,Vending Machine Sales,N,0,0,34582,-34582,-13588
547,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6234,Veteran's Pool,0000,Revenue,5432,Swimming,N,0,16260,5261454,-5245194,-3580240
548,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6234,Veteran's Pool,0000,Revenue,5438,Swimming-instructional,N,0,27500,321674,-294174,-359950
549,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6234,Veteran's Pool,0000,Revenue,5439,Swim Team,N,0,26500,10700,15800,-18734
550,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6234,Veteran's Pool,0000,Revenue,5465,Rental-Pool,N,0,162000,208000,-46000,-77750
551,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6234,Veteran's Pool,0000,Revenue,,,Y,0,232260,5836410,-5604150,-4050262
552,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6234,Veteran's Pool,,,,,Y,0,232260,5836410,-5604150,-4050262
553,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6235,Veteran's Ice Arena,0000,Revenue,5425,Vending Machine Sales,N,0,0,75959,-75959,-23519
554,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6235,Veteran's Ice Arena,0000,Revenue,5426,Concession,N,0,5525,782000,-776475,-618035
555,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6235,Veteran's Ice Arena,0000,Revenue,5441,Skating,N,0,25314,3563050,-3537736,-3365052
556,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6235,Veteran's Ice Arena,0000,Revenue,5443,Skate Shop,N,0,1800,127100,-125300,-413475
557,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6235,Veteran's Ice Arena,0000,Revenue,5444,Skating-Instructional,N,0,70500,6292386,-6221886,-7005417
558,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6235,Veteran's Ice Arena,0000,Revenue,5447,Adult Hockey League,N,0,82150,21237560,-21155410,-21018400
559,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6235,Veteran's Ice Arena,0000,Revenue,5466,Rental-Rink,N,0,7000,7886351,-7879351,-10290214
560,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6235,Veteran's Ice Arena,0000,Revenue,5483,Merchandise,N,0,0,234625,-234625,-6400
561,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6235,Veteran's Ice Arena,0000,Revenue,,,Y,0,192289,40199031,-40006742,-42740512
562,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6235,Veteran's Ice Arena,,,,,Y,0,192289,40199031,-40006742,-42740512
563,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6236,Fuller Pool,0000,Revenue,5423,Day Camps,N,0,363500,2545500,-2182000,-2790000
564,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6236,Fuller Pool,0000,Revenue,5425,Vending Machine Sales,N,0,7900,196595,-188695,-137571
565,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6236,Fuller Pool,0000,Revenue,5432,Swimming,N,0,63190,7599675,-7536485,-5212958
566,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6236,Fuller Pool,0000,Revenue,5437,Swimming-Master,N,0,19550,378768,-359218,-238896
567,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6236,Fuller Pool,0000,Revenue,5438,Swimming-instructional,N,0,117450,676874,-559424,-379901
568,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6236,Fuller Pool,0000,Revenue,5465,Rental-Pool,N,0,173200,1867700,-1694500,-1069800
569,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6236,Fuller Pool,0000,Revenue,6199,Other Rentals,N,0,4710441,9422741,-4712300,-4597300
570,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6236,Fuller Pool,0000,Revenue,,,Y,0,5455231,22687853,-17232622,-14426426
571,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6236,Fuller Pool,,,,,Y,0,5455231,22687853,-17232622,-14426426
572,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6237,Mack Pool,0000,Revenue,5407,Donations,N,0,0,0,0,-383974
573,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6237,Mack Pool,0000,Revenue,5408,Season Pass-Resident,N,0,15422,1173674,-1158252,-1245580
574,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6237,Mack Pool,0000,Revenue,5425,Vending Machine Sales,N,0,1000,101520,-100520,-52109
575,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6237,Mack Pool,0000,Revenue,5432,Swimming,N,0,0,1494601,-1494601,-1020500
576,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6237,Mack Pool,0000,Revenue,5437,Swimming-Master,N,0,12510,3123948,-3111438,-2622099
577,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6237,Mack Pool,0000,Revenue,5438,Swimming-instructional,N,0,187675,2858175,-2670500,-2305264
578,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6237,Mack Pool,0000,Revenue,5439,Swim Team,N,0,95000,3275000,-3180000,-3139265
579,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6237,Mack Pool,0000,Revenue,5465,Rental-Pool,N,0,6500,788050,-781550,-823200
580,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6237,Mack Pool,0000,Revenue,,,Y,0,318107,12814968,-12496861,-11591991
581,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6237,Mack Pool,,,,,Y,0,318107,12814968,-12496861,-11591991
582,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6238,Veteran's Fitness Center,0000,Revenue,5448,Fitness Center,N,0,0,0,0,-24426
583,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6238,Veteran's Fitness Center,0000,Revenue,,,Y,0,0,0,0,-24426
584,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6238,Veteran's Fitness Center,,,,,Y,0,0,0,0,-24426
585,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6242,Argo Livery,0000,Revenue,5423,Day Camps,N,0,134000,744500,-610500,-997750
586,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6242,Argo Livery,0000,Revenue,5426,Concession,N,0,0,2862425,-2862425,-1324675
587,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6242,Argo Livery,0000,Revenue,5461,Rental-Canoe,N,0,0,6963000,-6963000,-5286300
588,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6242,Argo Livery,0000,Revenue,5471,Rental-Kayak,N,0,0,42759100,-42759100,-28355350
589,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6242,Argo Livery,0000,Revenue,5478,Rental - Raft,N,0,13600,3325200,-3311600,-2494200
590,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6242,Argo Livery,0000,Revenue,5479,Rental - Tube,N,0,0,3479800,-3479800,-1700000
591,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6242,Argo Livery,0000,Revenue,,,Y,0,147600,60134025,-59986425,-40158275
592,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6242,Argo Livery,,,,,Y,0,147600,60134025,-59986425,-40158275
593,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6244,Gallup Livery,0000,Revenue,5423,Day Camps,N,0,351000,2895700,-2544700,-2904800
594,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6244,Gallup Livery,0000,Revenue,5426,Concession,N,0,0,3279200,-3279200,-2156230
595,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6244,Gallup Livery,0000,Revenue,5461,Rental-Canoe,N,0,9000,3471200,-3462200,-4291700
596,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6244,Gallup Livery,0000,Revenue,5463,Rental-Paddle Boat,N,0,0,1331200,-1331200,-931000
597,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6244,Gallup Livery,0000,Revenue,5464,Rental-Meeting Room,N,0,26500,1006400,-979900,-403100
598,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6244,Gallup Livery,0000,Revenue,5471,Rental-Kayak,N,0,0,18094675,-18094675,-11702300
599,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6244,Gallup Livery,0000,Revenue,5473,Canoe-Instruction,N,0,32800,297800,-265000,-321550
600,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6244,Gallup Livery,0000,Revenue,5475,Canoe-Sales,N,0,0,74000,-74000,0
601,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6244,Gallup Livery,0000,Revenue,5499,Miscellaneous-Parks,N,0,0,0,0,2500
602,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6244,Gallup Livery,0000,Revenue,6975,Contrib-Corporate Challenge,N,0,0,1000000,-1000000,-37100
603,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6244,Gallup Livery,0000,Revenue,,,Y,0,419300,31450175,-31030875,-22745280
604,0010,General,REVENUES,,060,Parks & Recreation,4000,Recreation Facilities & Serv,6244,Gallup Livery,,,,,Y,0,419300,31450175,-31030875,-22745280
